"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2024","67,954.70","67,181.43","67,954.70","66,931.76","114.29M","1.15%"
"03/12/2024","67,181.43","67,124.67","68,147.90","67,098.25","116.14M","0.08%"
"03/11/2024","67,124.67","67,297.57","67,446.37","66,766.98","107.07M","-0.26%"
"03/08/2024","67,297.57","67,143.77","67,506.95","66,865.63","109.43M","0.23%"
"03/07/2024","67,143.77","67,122.71","67,143.77","66,521.68","100.88M","0.03%"
"03/06/2024","67,122.71","65,777.07","67,122.71","65,777.07","105.37M","2.05%"
"03/05/2024","65,777.07","66,177.64","66,209.01","65,605.56","117.89M","-0.61%"
"03/04/2024","66,177.64","66,337.43","67,292.00","66,128.87","104.80M","-0.24%"
"03/01/2024","66,337.43","66,349.81","66,562.10","65,949.29","107.91M","-0.02%"
"02/29/2024","66,349.81","65,816.62","66,542.24","65,816.62","179.06M","0.81%"
"02/28/2024","65,816.62","66,776.71","66,791.19","65,816.62","77.20M","-1.44%"
"02/27/2024","66,776.71","67,218.27","67,223.80","66,653.93","93.49M","-0.66%"
"02/26/2024","67,218.27","67,768.63","67,825.67","66,891.65","90.03M","-0.81%"
"02/23/2024","67,768.63","67,636.51","67,973.08","67,251.15","73.20M","0.20%"
"02/22/2024","67,636.51","66,557.70","67,741.37","66,551.85","116.54M","1.62%"
"02/21/2024","66,557.70","66,513.50","66,748.24","66,079.46","128.64M","0.07%"
"02/20/2024","66,513.50","67,099.90","67,099.90","66,266.18","99.01M","-0.87%"
"02/19/2024","67,099.90","67,152.57","67,370.19","66,692.51","75.63M","-0.08%"
"02/16/2024","67,152.57","66,708.03","67,478.35","66,684.47","109.70M","0.67%"
"02/15/2024","66,708.03","66,420.90","66,801.10","66,072.90","104.78M","0.43%"
"02/14/2024","66,420.90","66,490.08","66,560.79","66,066.03","101.18M","-0.10%"
"02/13/2024","66,490.08","67,202.86","67,381.93","66,452.30","94.39M","-1.06%"
"02/12/2024","67,202.86","66,853.53","67,265.19","66,545.72","94.31M","0.52%"
"02/09/2024","66,853.53","67,199.91","67,333.93","66,767.08","89.76M","-0.52%"
"02/08/2024","67,199.91","67,775.46","67,776.07","66,960.85","96.53M","-0.85%"
"02/07/2024","67,775.46","68,059.89","68,139.77","67,635.42","108.47M","-0.42%"
"02/06/2024","68,059.89","67,476.47","68,261.20","67,476.47","92.58M","0.86%"
"02/05/2024","67,476.47","67,838.80","67,919.26","67,269.31","71.62M","-0.53%"
"02/02/2024","67,838.80","67,934.27","68,941.00","67,592.30","127.42M","-0.14%"
"02/01/2024","67,934.27","68,034.46","68,034.46","66,873.54","115.10M","-0.15%"
"01/31/2024","68,034.46","68,099.80","68,117.06","67,317.87","184.22M","-0.10%"
"01/30/2024","68,099.80","67,910.18","68,372.47","67,782.45","95.76M","0.28%"
"01/29/2024","67,910.18","68,621.01","68,621.01","67,850.13","88.31M","-1.04%"
"01/26/2024","68,621.01","67,586.95","68,621.01","66,997.64","83.13M","1.53%"
"01/25/2024","67,586.95","67,952.43","68,207.81","67,501.78","109.38M","-0.54%"
"01/24/2024","67,952.43","67,019.59","68,147.51","66,892.88","109.41M","1.39%"
"01/23/2024","67,019.59","66,028.54","67,149.02","66,028.54","101.09M","1.50%"
"01/22/2024","66,028.54","66,346.30","66,398.89","65,744.40","86.32M","-0.48%"
"01/19/2024","66,346.30","66,009.28","66,643.23","65,934.21","104.47M","0.51%"
"01/18/2024","66,009.28","65,353.15","66,197.96","65,333.30","107.21M","1.00%"
"01/17/2024","65,353.15","66,608.24","66,608.24","65,267.58","111.74M","-1.88%"
"01/16/2024","66,608.24","67,253.56","67,267.53","66,458.99","69.63M","-0.96%"
"01/15/2024","67,253.56","67,844.51","67,950.84","66,966.31","80.14M","-0.87%"
"01/12/2024","67,844.51","67,381.69","67,910.50","67,183.41","91.43M","0.69%"
"01/11/2024","67,381.69","67,141.68","67,844.26","67,111.40","75.54M","0.36%"
"01/10/2024","67,141.68","67,347.68","67,478.73","66,918.60","94.69M","-0.31%"
"01/09/2024","67,347.68","67,756.98","68,056.62","67,347.68","68.48M","-0.60%"
"01/08/2024","67,756.98","68,156.39","68,160.64","67,171.65","57.65M","-0.59%"
"01/05/2024","68,156.39","68,195.81","68,227.80","67,433.99","64.44M","-0.06%"
"01/04/2024","68,195.81","68,096.74","68,728.69","68,034.29","64.88M","0.15%"
"01/03/2024","68,096.74","69,337.93","69,337.93","68,096.74","74.08M","-1.79%"
"01/02/2024","69,337.93","70,494.80","70,494.80","69,196.43","55.03M","-1.64%"
"12/29/2023","70,494.80","70,076.25","70,494.80","69,785.31","47.55M","0.60%"
"12/28/2023","70,076.25","70,273.03","70,720.91","70,076.25","61.03M","-0.28%"
"12/27/2023","70,273.03","67,966.89","70,441.57","67,896.32","96.25M","3.39%"
"12/22/2023","67,966.89","69,195.95","69,250.04","67,575.45","41.42M","-1.78%"
"12/21/2023","69,195.95","68,718.28","69,259.47","68,176.05","207.90M","0.70%"
"12/20/2023","68,718.28","68,708.56","69,345.47","68,568.84","73.73M","0.01%"
"12/19/2023","68,708.56","68,201.23","68,708.56","67,883.02","89.58M","0.74%"
"12/18/2023","68,201.23","69,154.73","69,168.30","68,173.08","","-1.38%"
"12/14/2023","69,154.73","66,563.75","69,460.89","66,563.75","347.40M","3.89%"
"12/13/2023","66,563.75","66,496.06","66,916.00","66,171.76","122.49M","0.10%"
"12/12/2023","66,496.06","67,796.69","68,527.05","66,496.06","111.65M","-1.92%"
"12/11/2023","67,796.69","67,667.22","67,809.91","67,106.36","121.26M","0.19%"
"12/08/2023","67,667.22","68,720.96","68,891.43","67,542.93","125.01M","-1.53%"
"12/07/2023","68,720.96","69,287.64","69,303.62","68,565.83","130.93M","-0.82%"
"12/06/2023","69,287.64","69,134.61","69,811.79","69,124.95","111.16M","0.22%"
"12/05/2023","69,134.61","69,908.27","69,919.76","68,948.01","113.91M","-1.11%"
"12/04/2023","69,908.27","69,800.58","70,099.51","69,539.09","114.06M","0.15%"
"12/01/2023","69,800.58","69,647.14","70,305.01","69,393.00","116.38M","0.22%"
"11/30/2023","69,647.14","69,303.49","70,039.15","69,294.81","684.77M","0.50%"
"11/29/2023","69,303.49","69,574.16","69,714.72","69,281.42","145.88M","-0.39%"
"11/28/2023","69,574.16","69,366.89","69,612.43","69,005.22","140.74M","0.30%"
"11/27/2023","69,366.89","69,662.79","69,758.33","69,302.56","113.26M","-0.42%"
"11/24/2023","69,662.79","69,340.50","69,680.98","68,867.96","118.03M","0.46%"
"11/23/2023","69,340.50","68,689.75","69,583.40","68,689.75","113.87M","0.95%"
"11/22/2023","68,689.75","68,204.11","69,001.57","68,038.51","173.72M","0.71%"
"11/21/2023","68,204.11","68,245.09","68,592.59","67,806.66","347.22M","-0.06%"
"11/20/2023","68,245.09","67,925.67","68,292.29","67,900.99","87.05M","0.47%"
"11/17/2023","67,925.67","67,759.75","68,161.08","67,442.38","104.85M","0.24%"
"11/16/2023","67,759.75","68,691.16","68,697.83","67,301.11","142.82M","-1.36%"
"11/15/2023","68,691.16","67,317.52","69,318.19","67,267.11","175.66M","2.04%"
"11/14/2023","67,317.52","65,653.66","67,580.77","65,653.66","141.57M","2.53%"
"11/13/2023","65,653.66","65,434.45","65,997.67","65,374.80","92.77M","0.34%"
"11/10/2023","65,434.45","66,351.80","66,351.80","65,053.90","94.01M","-1.38%"
"11/09/2023","66,351.80","66,557.34","66,557.34","65,682.53","97.19M","-0.31%"
"11/08/2023","66,557.34","65,630.37","66,557.34","65,421.54","103.75M","1.41%"
"11/07/2023","65,630.37","67,353.06","67,364.94","65,448.77","123.46M","-2.56%"
"11/06/2023","67,353.06","66,916.23","67,607.98","66,916.23","105.57M","0.65%"
"11/03/2023","66,916.23","65,437.25","67,185.77","65,430.00","140.54M","2.26%"
"11/02/2023","65,437.25","63,887.58","65,437.25","63,797.84","151.94M","2.43%"
"11/01/2023","63,887.58","63,873.91","64,047.11","63,311.89","117.55M","0.02%"
"10/31/2023","63,873.91","64,243.68","64,638.39","63,739.81","129.22M","-0.58%"
"10/30/2023","64,243.68","63,785.89","64,447.23","63,763.15","107.53M","0.72%"
"10/27/2023","63,785.89","64,267.78","64,596.83","63,748.67","103.69M","-0.75%"
"10/26/2023","64,267.78","64,556.37","64,556.37","63,733.81","123.23M","-0.45%"
"10/25/2023","64,556.37","64,849.33","64,849.33","64,156.22","99.77M","-0.45%"
"10/24/2023","64,849.33","64,340.67","64,854.35","64,293.83","93.70M","0.79%"
"10/23/2023","64,340.67","64,598.64","64,622.55","63,932.44","101.77M","-0.40%"
"10/20/2023","64,598.64","65,319.78","65,337.46","64,435.79","105.34M","-1.10%"
"10/19/2023","65,319.78","66,310.90","66,327.79","65,319.78","93.58M","-1.49%"
"10/18/2023","66,310.90","67,120.18","67,277.05","66,119.98","197.34M","-1.21%"
"10/17/2023","67,120.18","67,369.78","67,369.78","66,463.21","106.65M","-0.37%"
"10/16/2023","67,369.78","67,153.07","67,419.64","66,578.73","118.29M","0.32%"
"10/13/2023","67,153.07","67,600.06","67,616.91","67,031.43","122.43M","-0.66%"
"10/12/2023","67,600.06","68,080.49","68,602.29","67,356.97","116.37M","-0.71%"
"10/11/2023","68,080.49","68,119.04","68,167.98","67,572.41","146.32M","-0.06%"
"10/10/2023","68,119.04","65,967.35","68,119.04","65,937.55","168.48M","3.26%"
"10/09/2023","65,967.35","65,926.41","66,559.59","65,568.10","132.87M","0.06%"
"10/06/2023","65,926.41","65,546.19","65,930.46","65,119.66","106.38M","0.58%"
"10/05/2023","65,546.19","64,882.30","65,735.91","64,833.41","123.33M","1.02%"
"10/04/2023","64,882.30","65,050.39","65,521.22","64,582.94","103.10M","-0.26%"
"10/03/2023","65,050.39","65,417.44","65,906.18","64,727.03","104.07M","-0.56%"
"10/02/2023","65,417.44","65,417.44","65,417.44","65,417.44","105.55M","-1.63%"
"09/29/2023","66,500.11","66,679.05","67,380.42","66,419.63","108.25M","-0.27%"
"09/28/2023","66,679.05","66,371.27","66,702.96","66,097.16","124.98M","0.46%"
"09/27/2023","66,371.27","66,857.83","67,158.40","66,352.36","113.13M","-0.73%"
"09/26/2023","66,857.83","67,680.65","67,680.65","65,798.64","132.13M","-1.22%"
"09/22/2023","67,680.65","67,430.92","68,013.67","67,411.96","96.58M","0.37%"
"09/21/2023","67,430.92","68,995.31","68,995.31","67,137.32","266.57M","-2.27%"
"09/20/2023","68,995.31","68,041.26","68,995.31","67,898.13","143.32M","1.40%"
"09/19/2023","68,041.26","68,299.44","68,484.77","67,960.54","131.36M","-0.38%"
"09/18/2023","68,299.44","69,029.17","69,203.67","68,119.55","105.23M","-1.06%"
"09/15/2023","69,029.17","68,806.22","69,463.56","68,806.22","302.50M","0.32%"
"09/14/2023","68,806.22","67,777.55","68,806.22","67,751.64","150.16M","1.52%"
"09/13/2023","67,777.55","68,540.41","68,540.41","67,288.98","125.08M","-1.11%"
"09/12/2023","68,540.41","68,518.46","68,639.01","68,045.27","106.28M","0.03%"
"09/11/2023","68,518.46","68,020.84","68,997.82","68,020.84","87.05M","0.73%"
"09/08/2023","68,020.84","67,583.93","68,063.26","67,357.42","118.63M","0.65%"
"09/07/2023","67,583.93","68,754.21","68,755.44","67,538.60","101.43M","-1.70%"
"09/06/2023","68,754.21","69,322.26","69,393.06","68,486.55","114.87M","-0.82%"
"09/05/2023","69,322.26","69,662.43","69,679.18","68,773.49","126.62M","-0.49%"
"09/04/2023","69,662.43","69,069.25","69,992.79","69,032.78","70.91M","0.86%"
"09/01/2023","69,069.25","69,278.44","69,674.21","68,889.66","107.58M","-0.30%"
"08/31/2023","69,278.44","69,516.14","69,608.59","69,206.35","267.81M","-0.34%"
"08/30/2023","69,516.14","69,093.97","69,601.97","69,078.26","114.59M","0.61%"
"08/29/2023","69,093.97","69,370.36","69,391.70","68,783.77","87.47M","-0.40%"
"08/28/2023","69,370.36","68,162.29","69,433.76","68,162.29","63.38M","1.77%"
"08/25/2023","68,162.29","68,637.10","69,080.86","68,162.29","78.94M","-0.69%"
"08/24/2023","68,637.10","68,404.39","69,245.33","68,387.73","97.16M","0.34%"
"08/23/2023","68,404.39","67,797.63","68,482.90","67,796.28","103.81M","0.89%"
"08/22/2023","67,797.63","68,284.71","68,803.69","67,616.49","129.30M","-0.71%"
"08/21/2023","68,284.71","67,620.79","68,535.06","67,601.51","119.04M","0.98%"
"08/18/2023","67,620.79","68,878.76","68,878.76","67,432.41","127.83M","-1.83%"
"08/17/2023","68,878.76","69,342.57","69,798.99","68,629.75","134.94M","-0.67%"
"08/16/2023","69,342.57","70,045.37","70,045.37","68,910.44","105.21M","-1.00%"
"08/15/2023","70,045.37","70,633.37","70,880.36","69,832.13","97.52M","-0.83%"
"08/14/2023","70,633.37","71,434.25","71,496.09","70,282.95","104.34M","-1.12%"
"08/11/2023","71,434.25","72,215.94","72,215.94","71,396.39","85.00M","-1.08%"
